rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,0.8,24,0.02,0.2,24,0.15,3,38,44.74,2.181,0.079,0.068,1.05,4.0,43.5,21.19,10.54,63.16,0.0795,1.495,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body02_adx24_spr015_slp3.csv,RECHAZADO,254.43
1.5,0.7,24,0.01,0.15,24,0.2,3,37,43.24,2.177,0.077,0.064,1.05,3.99,46.13,21.19,10.79,62.16,0.0818,1.483,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body015_adx24_spr02_slp3.csv,RECHAZADO,254.0
1.5,0.7,24,0.01,0.2,24,0.2,3,37,43.24,2.177,0.077,0.064,1.05,3.99,46.13,21.19,10.79,62.16,0.0818,1.483,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body02_adx24_spr02_slp3.csv,RECHAZADO,254.0
1.5,0.7,24,0.02,0.15,24,0.2,3,37,43.24,2.177,0.077,0.064,1.05,3.99,46.13,21.19,10.79,62.16,0.0818,1.483,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body015_adx24_spr02_slp3.csv,RECHAZADO,254.0
1.5,0.7,24,0.02,0.2,24,0.2,3,37,43.24,2.177,0.077,0.064,1.05,3.99,46.13,21.19,10.79,62.16,0.0818,1.483,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body02_adx24_spr02_slp3.csv,RECHAZADO,254.0
1.5,0.7,24,0.01,0.15,24,0.15,3,38,42.11,2.177,0.079,0.067,1.05,3.99,46.13,21.19,10.5,60.53,0.0818,1.488,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body015_adx24_spr015_slp3.csv,RECHAZADO,253.92
1.5,0.7,24,0.01,0.2,24,0.15,3,38,42.11,2.177,0.079,0.067,1.05,3.99,46.13,21.19,10.5,60.53,0.0818,1.488,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body02_adx24_spr015_slp3.csv,RECHAZADO,253.92
1.5,0.7,24,0.02,0.15,24,0.15,3,38,42.11,2.177,0.079,0.067,1.05,3.99,46.13,21.19,10.5,60.53,0.0818,1.488,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body015_adx24_spr015_slp3.csv,RECHAZADO,253.92
1.5,0.7,24,0.02,0.2,24,0.15,3,38,42.11,2.177,0.079,0.067,1.05,3.99,46.13,21.19,10.5,60.53,0.0818,1.488,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body02_adx24_spr015_slp3.csv,RECHAZADO,253.92
1.5,0.8,24,0.01,0.25,24,0.2,3,37,45.95,2.163,0.077,0.064,1.05,3.94,43.13,21.19,10.66,64.86,0.0745,1.459,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body025_adx24_spr02_slp3.csv,APROBADO,252.19
