trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2024-11-08,10,SELL,2024-11-08 10:05:00,2024-11-08 11:35:00,2685.22,2687.97,2696.430945226048,2669.524676683532,11.210945226048352,19,-12.264799910048813,-0.2453,timeout,False,0.2979,0.5807,0.2979,0.5807,2696.23,2685.94,2.009452260479661,25.09693058957293,9987.735200089952
2,2024-11-12,9,SELL,2024-11-12 09:25:00,2024-11-12 10:55:00,2600.18,2600.57,2618.347874866859,2574.744975186397,18.167874866859165,19,-1.0720067032010967,-0.0215,timeout,False,0.2741,0.349,0.2741,0.349,2618.07,2603.41,2.7787486685864997,44.796238112066106,9986.66319338675
3,2024-11-13,10,SELL,2024-11-13 10:15:00,2024-11-13 10:30:00,2601.75,2607.971884057548,2607.971884057548,2593.039362319433,6.221884057547868,4,-49.933315966933755,-1.0,sl,False,0.1221,1.0608,0.1221,1.0608,2607.82,2603.51,1.5188405754754606,29.533233301673427,9936.729877419817
4,2024-11-14,9,SELL,2024-11-14 09:15:00,2024-11-14 10:45:00,2550.88,2556.32,2565.341877436427,2530.6333715890028,14.461877436426676,19,-18.689070893730644,-0.3762,timeout,False,0.0249,0.6126,0.0249,0.6126,2565.12,2551.81,2.2187743642678837,36.54586343925001,9918.040806526087
5,2024-11-26,9,SELL,2024-11-26 09:30:00,2024-11-26 11:00:00,2616.05,2614.77,2626.636161148267,2601.2293743924265,10.58616114826691,19,5.996079246551865,0.1209,timeout,False,0.4969,0.2116,0.4969,0.2116,2626.44,2617.81,1.961611482668675,46.77548264788843,9924.036885772639
6,2024-12-13,9,SELL,2024-12-13 09:30:00,2024-12-13 11:00:00,2682.64,2671.4889339112524,2690.605047206248,2671.4889339112524,7.965047206248073,19,69.46825820040961,1.4,tp,True,1.4677,0.2624,1.4677,0.2624,2690.44,2683.26,1.6504720624775036,28.88259070411759,9993.505143973049
7,2025-02-12,14,SELL,2025-02-12 14:30:00,2025-02-12 15:30:00,2882.61,2865.5108934154273,2894.8236475604094,2865.5108934154273,12.2136475604093,13,69.95453600781059,1.4,tp,True,1.5204,0.271,1.5204,0.271,2894.61,2883.46,2.136475604094449,35.00764995116477,10063.459679980859
8,2025-02-27,11,SELL,2025-02-27 11:40:00,2025-02-27 13:10:00,2888.13,2893.87,2898.7788031762843,2873.221675553202,10.648803176284218,19,-27.122418175468678,-0.539,timeout,False,0.2169,0.6498,0.2169,0.6498,2898.42,2888.6,3.5880317628431397,36.871040863426174,10036.33726180539
9,2025-02-28,11,SELL,2025-02-28 11:45:00,2025-02-28 13:15:00,2860.98,2860.09,2867.210840138496,2852.2568238061053,6.230840138496205,19,7.16784571940672,0.1428,timeout,False,0.2247,0.6243,0.2247,0.6243,2866.98,2861.72,2.308401384959815,45.747534048842525,10043.505107524797
10,2025-04-04,10,SELL,2025-04-04 10:40:00,2025-04-04 12:10:00,3094.46,3090.88,3109.110891512562,3073.9487518824135,14.650891512561884,19,12.270839714466888,0.2444,timeout,True,1.0962,0.1427,1.0962,0.1427,3108.75,3096.05,3.608915125618466,24.42121855131286,10055.775947239264
11,2025-04-07,9,SELL,2025-04-07 09:30:00,2025-04-07 11:00:00,3018.61,3022.08,3045.0099236533315,2981.6501068853363,26.39992365333137,19,-6.608644592143558,-0.1314,timeout,False,0.2004,0.4814,0.2004,0.4814,3044.44,3018.91,5.699236533313334,26.900582176831403,10049.167302647122
12,2025-04-23,9,SELL,2025-04-23 09:45:00,2025-04-23 11:15:00,3312.63,3310.13,3350.069272425284,3260.215018604603,37.43927242528389,19,3.355155780171028,0.0668,timeout,False,0.5604,0.2102,0.5604,0.2102,3349.41,3315.86,6.592724252841525,39.27070472868572,10052.522458427293
13,2025-05-01,12,SELL,2025-05-01 12:55:00,2025-05-01 14:25:00,3220.48,3223.14,3239.026949285273,3194.5142710006176,18.546949285273058,19,-7.208654460668479,-0.1434,timeout,False,0.3774,0.3537,0.3774,0.3537,3238.73,3221.24,2.9694928527293754,31.790208734374293,10045.313803966625
14,2025-05-12,10,SELL,2025-05-12 10:05:00,2025-05-12 11:35:00,3254.47,3232.96,3284.084364456502,3213.009889760897,29.614364456502244,19,36.48140081491391,0.7263,timeout,True,1.2943,0.0588,1.2943,0.0588,3283.57,3268.49,5.143644565019927,38.52079973169524,10081.795204781538
15,2025-05-14,15,SELL,2025-05-14 15:00:00,2025-05-14 15:45:00,3220.09,3199.8327471751672,3234.559466303452,3199.8327471751672,14.469466303452009,10,70.57256643347108,1.4,tp,True,2.1252,0.161,2.1252,0.161,3234.25,3221.48,3.0946630345201793,26.835406982340004,10152.36777121501
16,2025-06-17,9,SELL,2025-06-17 09:35:00,2025-06-17 11:05:00,3386.83,3385.19,3396.4475876955007,3373.3653772262987,9.617587695500788,19,8.655955979782913,0.1705,timeout,False,0.5937,0.522,0.5937,0.522,3396.19,3386.96,2.575876955008528,24.535054889373512,10161.023727194792
17,2025-06-20,9,SELL,2025-06-20 09:45:00,2025-06-20 11:15:00,3340.81,3349.75,3357.9173243051405,3316.859745972803,17.107324305140537,19,-26.549900645136496,-0.5226,timeout,False,0.007,0.8464,0.007,0.8464,3357.62,3342.61,2.9732430514041384,26.371358672191327,10134.473826549654
18,2025-06-25,13,SELL,2025-06-25 13:40:00,2025-06-25 15:10:00,3324.88,3325.9,3333.856233849119,3312.313272611234,8.976233849118671,19,-5.758073751663352,-0.1136,timeout,False,0.3688,0.5125,0.3688,0.5125,3333.66,3325.73,1.9623384911894357,24.687180616636667,10128.71575279799
19,2025-06-27,9,SELL,2025-06-27 09:40:00,2025-06-27 11:10:00,3287.47,3283.7,3301.2510695387,3268.1765026458197,13.781069538700194,19,13.854243417325433,0.2736,timeout,False,0.373,0.6052,0.373,0.6052,3300.9,3289.16,3.510695386999298,28.0559959152098,10142.569996215316
20,2025-07-07,10,SELL,2025-07-07 10:50:00,2025-07-07 12:20:00,3304.06,3309.03,3315.344088818725,3288.262275653785,11.284088818725195,19,-22.336129080064946,-0.4404,timeout,False,0.3066,0.7701,0.3066,0.7701,3315.08,3305.11,2.6408881872531986,30.118165805681727,10120.23386713525
21,2025-07-09,9,SELL,2025-07-09 09:15:00,2025-07-09 10:45:00,3287.89,3293.92,3297.8895441933955,3273.890638129246,9.99954419339565,19,-30.513895952943773,-0.603,timeout,False,0.234,0.623,0.234,0.623,3297.65,3288.93,2.395441933953681,31.08777548321757,10089.719971182307
22,2025-07-24,9,SELL,2025-07-24 09:30:00,2025-07-24 11:00:00,3371.81,3367.36,3385.5208383965664,3352.614826244807,13.710838396566487,19,16.37363543100444,0.3246,timeout,False,0.4391,0.415,0.4391,0.415,3385.27,3374.38,2.5083839656663525,43.73813637405093,10106.09360661331
23,2025-07-25,10,SELL,2025-07-25 10:40:00,2025-07-25 12:10:00,3353.75,3344.78,3363.6006121951755,3339.9591429267543,9.850612195175472,19,46.013211085356595,0.9106,timeout,True,1.0832,0.1665,1.0832,0.1665,3363.4,3355.25,2.0061219517539866,46.34384686164168,10152.106817698668
24,2025-07-28,11,SELL,2025-07-28 11:15:00,2025-07-28 12:00:00,3337.45,3337.45,3344.275748374145,3327.893952276196,6.825748374145405,10,0.0,0.0,breakeven,True,0.7618,0.1362,0.7618,0.1362,3344.05,3337.97,2.2574837414497004,40.52680374591721,10152.106817698668
25,2025-08-12,9,SELL,2025-08-12 09:50:00,2025-08-12 10:35:00,3347.13,3355.8958370614096,3355.8958370614096,3334.8578281140267,8.765837061409457,10,-50.760534088493344,-1.0,sl,False,0.4073,1.2469,0.4073,1.2469,3355.63,3348.48,2.6583706140941143,32.49277601040719,10101.346283610175
26,2025-10-22,11,SELL,2025-10-22 11:10:00,2025-10-22 11:20:00,4102.63,4102.63,4147.774576632308,4039.427592714769,45.14457663230769,3,0.0,0.0,breakeven,True,1.0311,0.2623,1.0311,0.2623,4146.84,4107.47,9.345766323079824,49.341777269600186,10101.346283610175
27,2025-10-28,9,SELL,2025-10-28 09:10:00,2025-10-28 10:40:00,3956.94,3930.9,3994.7381934611485,3904.022529154392,37.79819346114846,19,34.795189020816295,0.6889,timeout,True,0.9268,0.0799,0.9268,0.0799,3994.1,3959.29,6.381934611486673,38.22938958295705,10136.141472630992
28,2025-11-18,9,SELL,2025-11-18 09:25:00,2025-11-18 10:10:00,4003.67,4025.5663238670218,4025.5663238670218,3973.0151465861695,21.896323867021692,10,-50.680707363154966,-1.0,sl,False,0.2594,1.055,0.2594,1.055,4025.11,4007.61,4.563238670215615,51.374944126044994,10085.460765267837
29,2026-01-08,14,SELL,2026-01-08 14:15:00,2026-01-08 15:45:00,4412.3,4429.65,4438.182538240137,4376.064446463809,25.882538240136455,19,-33.803242683138976,-0.6703,timeout,False,0.1793,0.9164,0.1793,0.9164,4437.78,4415.67,4.025382401372573,32.956767698696325,10051.657522584697
30,2026-01-30,10,SELL,2026-01-30 10:35:00,2026-01-30 12:05:00,5077.74,5018.69,5244.188388387694,4844.712256257228,166.44838838769465,19,17.829862531504954,0.3548,timeout,True,0.8139,0.3231,0.8139,0.3231,5241.45,5145.17,27.38388387694509,41.2972240511827,10069.487385116203
31,2026-02-05,14,SELL,2026-02-05 14:20:00,2026-02-05 15:50:00,4820.05,4841.68,4935.286825409646,4658.718444426497,115.23682540964546,19,-9.450234825795286,-0.1877,timeout,False,0.1576,0.44,0.1576,0.44,4933.94,4826.62,13.468254096463118,34.17090413729599,10060.037150290407
32,2026-02-13,13,SELL,2026-02-13 13:25:00,2026-02-13 14:55:00,4938.79,4969.38,4987.144634208248,4871.093512108452,48.35463420824817,19,-31.820790443999712,-0.6326,timeout,False,0.0922,0.7232,0.0922,0.7232,4986.26,4944.67,8.846342082474766,32.568850972076056,10028.216359846407
